38	0	packages/daemon/package.json
36	0	packages/daemon/src/client/daemon-client-contracts.ts
112	0	packages/daemon/src/client/daemon-client-control.test.ts
43	0	packages/daemon/src/client/daemon-client-public.test.ts
298	0	packages/daemon/src/client/daemon-client-runtime.ts
447	0	packages/daemon/src/client/daemon-client.test.ts
64	0	packages/daemon/src/client/daemon-client.ts
219	0	packages/daemon/src/client/daemon-routing-policy.test.ts
137	0	packages/daemon/src/client/daemon-routing-policy.ts
150	0	packages/daemon/src/daemon-admission.test.ts
129	0	packages/daemon/src/daemon-admission.ts
43	0	packages/daemon/src/daemon-command-name.test.ts
32	0	packages/daemon/src/daemon-command-name.ts
40	0	packages/daemon/src/daemon-diagnostics.ts
122	0	packages/daemon/src/daemon-execution-failure.test.ts
35	0	packages/daemon/src/daemon-execution-failure.ts
136	0	packages/daemon/src/daemon-executor-module-loader.test.ts
216	0	packages/daemon/src/daemon-executor.ts
92	0	packages/daemon/src/daemon-lifecycle-report.ts
163	0	packages/daemon/src/daemon-policy.test.ts
341	0	packages/daemon/src/daemon-policy.ts
72	17	{apps/cli/src/daemon => packages/daemon/src/delivery}/completion-spool.test.ts
88	25	{apps/cli/src/daemon => packages/daemon/src/delivery}/completion-spool.ts
646	0	packages/daemon/src/delivery/delivery-session.test.ts
519	0	packages/daemon/src/delivery/delivery-session.ts
68	5	apps/cli/src/daemon/daemon-logger.test.ts => packages/daemon/src/diagnostics/logger.test.ts
23	39	apps/cli/src/daemon/daemon-logger.ts => packages/daemon/src/diagnostics/logger.ts
2	5	apps/cli/src/daemon/daemon-operation-observer.test.ts => packages/daemon/src/diagnostics/operation-observer.test.ts
7	7	apps/cli/src/daemon/daemon-operation-observer.ts => packages/daemon/src/diagnostics/operation-observer.ts
52	0	packages/daemon/src/entry-boundary.test.ts
66	0	packages/daemon/src/execution/accepted-execution-session-contracts.ts
330	0	packages/daemon/src/execution/accepted-execution-session.test.ts
194	0	packages/daemon/src/execution/accepted-execution-session.ts
71	36	{apps/cli/src/daemon => packages/daemon/src/execution}/accepted-request-ledger.test.ts
54	19	{apps/cli/src/daemon => packages/daemon/src/execution}/accepted-request-ledger.ts
1	1	apps/cli/src/daemon/workspace-request-queue.test.ts => packages/daemon/src/execution/request-queue.test.ts
10	5	apps/cli/src/daemon/workspace-request-queue.ts => packages/daemon/src/execution/request-queue.ts
380	0	packages/daemon/src/host-contract.test.ts
33	0	packages/daemon/src/index.ts
801	0	packages/daemon/src/lifecycle/daemon-clock.test.ts
0	0	{apps/cli/src/daemon => packages/daemon/src/lifecycle}/daemon-clock.ts
79	0	packages/daemon/src/lifecycle/daemon-lifetime.test.ts
11	9	{apps/cli/src/daemon => packages/daemon/src/lifecycle}/daemon-lifetime.ts
37	0	packages/daemon/src/package-boundary.test.ts
43	0	packages/daemon/src/process-entry.ts
327	0	packages/daemon/src/process/activity-projector.test.ts
